,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
いとうしいな,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,6,0,0,1,0,1,0,1,4,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1
うさみ恭香,5,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,1,0,0,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
うちだまひろ,0,0,0,1,0,1,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,2,1,0,1,1,0,0
かぐやひめ,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
かとりこのみ,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,0,0,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,4,0,1,0,0,1,1,0,0,1,2,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0
かないかほ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0
くすのき琴美,3,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,2,4,0,2,1,0,3,0,2,0,3,0,2,1,1,0,0,1,0,1,1,0,4,1,0,2,0,2,1,0,0,1,0,0,0,4,1,0,2,0,0,0,0,1,0,0,1,2,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
クミコグレース,1,0,1,2,0,0,0,1,0,0,3,1,3,2,1,2,1,1,3,0,1,0,2,1,0,1,2,0,4,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,3,0,5,2,1,1,0,1,1,1,0,2,1,1,0,0,4,1,0,2,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,2,0,0,1,0,1,2,0,1,1,0,3,2,0,0
くらもとまい,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,2,1,0,1,0,2,0,0,0,2,1,2,1,0,3,0,0,0,0,0,0,1,0,2,2,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,4,0,4,0,0,0,0,0,0,1,4,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,3,1,1,1,0,0,0,0
ささきふう香,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,2,0,0,1,1,3,1,0,0,2
さとみ,3,3,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,1,4,0,0,0,1,0,0,1,0,1,2,0,2,0,0,1,0,1,0,3,0,1,1,2,2,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,2,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0
中村あみ,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
しいな純菜,2,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,3,0,2,1,1,0,2,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
しのざきさとみ,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,1,0,0,1,0,1,1,0,1,0,0,2,1,2,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,1,0,2,0,3,1,0,0,0,4,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1,1,0,1,1,2,0,1,2,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0
牧本千幸,0,1,0,0,1,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
デヴィ,2,0,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
テラ パトリック,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0
ドミニカ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ともさかまい,0,3,1,1,0,1,1,0,0,2,1,2,1,0,1,0,0,1,1,1,0,0,3,2,1,1,1,0,2,0,2,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,3,2,0,0,1,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,1,0,0,3,1,0,1,1,2,0,0,0,0,0,2,0,0,3,0,0,0,1
ともさか愛,0,2,0,1,2,0,0,0,0,0,1,2,0,4,1,0,0,1,0,1,2,0,0,3,1,2,1,0,3,0,1,1,0,0,4,0,0,0,2,3,0,1,0,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,1,0,0,4,1,2,1,1,0,0,0,0,0,0,0
なごみもえ,1,0,0,2,0,0,0,2,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ひなこ,0,1,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2,1,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,2,0,2,2,0,0,1,1,0,0
ひろせまなつ,2,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1
ブリアナ バンクス,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,1,4,0,1,2,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,3,1,0,2,0,1,2,1,1,3,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,2,2
すばる,1,1,0,1,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,1,1,2,0,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,0,1,3,2,0,0,0,1,0,0
みさき理絵,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,0,1,4,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0
みずしまちはる,0,2,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,1
みなみ,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,4,0,0,3,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
みなみありす,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,1,2,0,0,1,0,3,1,0,1,0,0,0,0,1,1
みなみゆい,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
メイファ,1,3,0,2,0,1,0,2,0,0,0,5,0,1,1,1,3,1,3,1,0,0,2,1,2,0,0,0,0,2,2,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,2,1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,2,0,1,1,0,0,1,0,0,4
鮎川ちなつ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ひかるまこと,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
渋谷亜美,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,3,1,0,1,2,0,0,1,2,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,2,2,1,2,0,2,0,4,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,4,0,0,2,1,0,1,1,1,0,0,0,1,1,0
亜美果あゆ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
田辺真莉,0,0,0,0,1,1,0,2,0,0,1,0,1,1,0,0,1,1,1,1,1,2,0,2,1,1,1,0,1,2,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,1,2,1,2,0,0,1,1,1,2,0,0,0,0,2,2,0,2,1,0,1,0,1,1,0,1,2,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,3,1,2,0,4,0
愛伊里みお,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
愛咲ゆい,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,2,1,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,1,2,0,1,1,1,0,1,0,0,1,2,1,1,2,1,0,0,0,0,1,1,0,0,2,1,3,0,0,0,0,1,0,0,0,0,1
愛川ひかる,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
愛川ひな,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,2,0,4,0,1,0,1,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0
愛川ゆき,3,1,0,1,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,2,0,0,1,2,1,2,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,2,0,0,1,0,0,1,0,0,2,2,0,0,0
愛川香織,1,0,1,2,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
神崎あい,0,0,0,2,0,2,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,2,0,0,0,3,0,0,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
愛川智佐,0,0,4,2,0,0,0,1,0,0,0,0,1,1,1,4,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,2,1,0,2,0,1,0,0,0,2,0,0,0,5,1,0,0,1,0,0,3,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,2,0,0,1,0,0,1,5,0,2,1,0,0,1,2,3,0,2,0,0,0,0,0,0,1,2,3,0,0
愛染恭子,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
愛田るか,1,1,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,1,0,0,1,1,0,2,1,0,0,2,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,2,3,1,2,0,0,0,0,1,0,0,0
愛葉亜希,0,0,0,1,2,0,0,0,1,2,0,1,1,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,3,2,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,1,2,0,0,1,0,0,1,0,0,0
逢崎みゆ,2,0,0,0,0,5,0,0,0,1,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,3,2,1,0,0,3,1,2,0,1,0,0,0,4,0,0,1,0,0,3,0,0,0,1,3,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,3,1,2,1,0,0,1
葵あかね,1,0,0,1,1,1,0,1,1,0,1,0,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,3,2,1,3,0,3,1,5,1,0,1,0,0,1,0,1,2,1,1,0,3,0,2,3,0,0,1,0,0,0,3,1,0,1,0,1,3,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0
葵みのり,3,0,2,1,1,2,0,1,0,0,0,0,0,3,1,0,3,2,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,1,3,0,0,2,1,0,1,1,1,0,2,1,2,2,1,1,0,0,0,0,0,2,0,1,1
綾見志穂,1,3,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,2,3,0,1,2,0,3,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,2,2,2,0,1,1,0,2,1,0,0,0
綾瀬ルリ,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
綾波涼,1,0,1,0,3,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0
鮎川あみ,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,3,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0
